parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
MCTRCTL_INDJMPINH_IMPLEMENTED,mctrctl.INDJMPINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.INDJMPINH is implemented.

When not implemented mctrctl.INDJMPINH will be read-only-zero."
MCTRCTL_INDLJMPINH_IMPLEMENTED,mctrctl.INDLJMPINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.INDLJMPINH is implemented.

When not implemented mctrctl.INDLJMPINH will be read-only-zero."
MCTRCTL_INTRINH_IMPLEMENTED,mctrctl.INTRINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.INTRINH is implemented.

When not implemented mctrctl.INTRINH will be read-only-zero."
MCTRCTL_MTE_IMPLEMENTED,mctrctl.MTE implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,553,16,True,False,"[#norm:exttrap_implreq]#If external trap recording is implemented, `mctrctl`.MTE and `sctrctl`.STE must be implemented, while `vsctrctl`.STE must be implemented if the H extension is implemented.#","Whether or not mctrctl.MTE is implemented.

When not implemented mctrctl.MTE will be read-only-zero."
MCTRCTL_NTBREN_IMPLEMENTED,mctrctl.NTBREN implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.NTBREN is implemented.

When not implemented mctrctl.NTBREN will be read-only-zero."
MCTRCTL_RASEMU_IMPLEMENTED,mctrctl.RASEMU implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.RASEMU is implemented.

When not implemented mctrctl.RASEMU will be read-only-zero."
MCTRCTL_RETINH_IMPLEMENTED,mctrctl.RETINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.RETINH is implemented.

When not implemented mctrctl.RETINH will be read-only-zero."
MCTRCTL_STE_IMPLEMENTED,mctrctl.STE implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,553,16,True,False,"[#norm:exttrap_implreq]#If external trap recording is implemented, `mctrctl`.MTE and `sctrctl`.STE must be implemented, while `vsctrctl`.STE must be implemented if the H extension is implemented.#","Whether or not mctrctl.STE is implemented.

When not implemented mctrctl.STE will be read-only-zero."
MCTRCTL_TKBRINH_IMPLEMENTED,mctrctl.TKBRINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.TKBRINH is implemented.

When not implemented mctrctl.TKBRINH will be read-only-zero."
MCTRCTL_TRETINH_IMPLEMENTED,mctrctl.TRETINH implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Smctr,ext:Smctr,False,2,"sctrctl, vsctrctl",smctr.adoc,413,12,True,False,"[#norm:hstateen_ctr]#If the H extension is implemented and `mstateen0`.CTR=1, the `hstateen0`.CTR bit controls access to supervisor CTR state when V=1.  This state includes `sctrctl` (really `vsctrctl","Whether or not mctrctl.TRETINH is implemented.

When not implemented mctrctl.TRETINH will be read-only-zero."
MIMPID_IMPLEMENTED,Whether or not the `mimpid` CSR is implemented.,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,337,9,True,False,[#norm:mimpid_op]#The `mimpid` CSR provides a unique encoding of the version of the,"* false: `mimpid` is not implemented, and must be read-only-0
* true: `mimpid` is implemented, and the value is determined by `IMP_ID_VALUE`"
MISALIGNED_AMO,TODO,NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: [True, False]",Zaamo,ext:Zaamo,False,0,,zalasr.adoc,26,6,True,False,"[#norm:zalasr_misaligned_pma_relax]#The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement.#",Whether or not the implementation supports misaligned atomics in main memory
MISALIGNED_LDST,Support for misaligned loads and stores to main memory.,NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: [True, False]",Sm,ext:Sm,False,0,,zalasr.adoc,26,6,True,False,"[#norm:zalasr_misaligned_pma_relax]#The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement.#","Does the implementation perform non-atomic misaligned loads and stores to main memory
(does *not* affect misaligned support to device memory)?
If not, the implementation always throws a misaligned exception."
MISALIGNED_LDST_EXCEPTION_PRIORITY,"The relative priority of a load/store/AMO exception vs. load/store/AMO page-fault
or access-fault exceptions.",NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: ['low', 'high']",Sm,ext:Sm,True,0,,rv32.adoc,139,6,True,False,[#norm:taken_cti_misaligned_exc]#An instruction-address-misaligned exception is generated on a taken branch,"The relative priority of a load/store/AMO exception vs. load/store/AMO page-fault
or access-fault exceptions.

May be one of:

[separator=""!""]
!===
! low  ! Misaligned load/store/AMO exceptions are always lower priority than load/store/AMO page-fault and access-fault exceptions.
! high ! Misaligned "
MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE,"The maximum granule size, in bytes, that the hart can atomically perform a
misaligned load/store/AMO without raising a Misaligned exception",NORM_DIRECT,medium,Misaligned access behavior parameter,enum,13 values,Sm,ext:Sm AND param:MISALIGNED_LDST(equal=True),True,0,,a-st-ext.adoc,385,9,True,False,"[#norm:amo_misaligned_atomicity_granule]#The misaligned atomicity granule PMA, defined in Volume II of this manual,","When MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE is 0, the hart
cannot atomically perform a misaligned load/store/AMO. When a power of two, the hart can
atomically load/store/AMO a misaligned access that is fully contained in a
MISALIGNED_MAX_ATOMICITY_GRANULE_SIZE-aligned region.

[NOTE]
Even if the hart"
MISALIGNED_SPLIT_STRATEGY,"The *order* the implementation appears
to process a non-atomic misaligned load/store, which determines how/which
exceptions will be reported.",NORM_DIRECT,medium,Misaligned access behavior parameter,binary,"choices: ['sequential_bytes', 'custom']",Sm,ext:Sm AND param:MISALIGNED_LDST(equal=True),False,0,,a-st-ext.adoc,385,5,True,False,"[#norm:amo_misaligned_atomicity_granule]#The misaligned atomicity granule PMA, defined in Volume II of this manual,","Options:

  * sequential_bytes: The load/store appears to be broken into byte-sized accesses that processed sequentially from smallest address to largest address
  * custom: Something else. Will result in a call to unpredictable() in the execution"
MISA_CSR_IMPLEMENTED,Whether or not the `misa` CSR is implemented,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Sm,ext:Sm,False,3,mstatus,machine.adoc,23,12,True,False,"but [#norm:misa_csr_implemented]#a value of zero can be returned to indicate the `misa` register has not been implemented#, requiring that CPU capabilities be determined through a separate non-standar","Options:

  true::
    The `misa` CSR returns a non-zero value.

  false::
    The `misa` CSR is read-only-0."
MSTATEEN_AIA_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Ssaia",ext:Ssaia AND ext:Smstateen(~> 1.0),False,0,,smstateen.adoc,288,4,True,False,[#norm:mstateen0-aia_op]#The AIA bit in `mstateen0` controls access to all state introduced by the,"Behavior of the mstateen0.AIA bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_CONTEXT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Sdtrig, Smstateen",ext:Sdtrig AND ext:Smstateen,False,0,,machine.adoc,3371,5,True,False,"context-switch time. [#norm:pmp_cfg_rv32_layout]#For RV32, sixteen CSRs, `pmpcfg0`–`pmpcfg15`, hold","Behavior of the mstateen0.CONTEXT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_CSRIND_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Sscsrind",ext:Sscsrind AND ext:Smstateen,False,0,,smstateen.adoc,271,5,True,False,"[#norm:mstateen0-csrind_op]#The CSRIND bit in `mstateen0` controls access to the `siselect`, `sireg*`,","Behavior of the mstateen0.CSRIND bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_ENVCFG_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","S, Smstateen",ext:S AND ext:Smstateen,False,0,,smstateen.adoc,267,5,True,False,"[#norm:mstateen0-envcfg_op]#The ENVCFG bit in `mstateen0` controls access to the `henvcfg`, `henvcfgh`,","Behavior of the mstateen0.ENVCFG bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_IMSIC_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Ssaia",ext:Ssaia AND ext:Smstateen(~> 1.0),False,0,,smstateen.adoc,277,5,True,False,"[#norm:mstateen0-imsic_op]#The IMSIC bit in `mstateen0` controls access to the IMSIC state, including","Behavior of the mstateen0.IMSIC bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATEEN_JVT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Zcmt",ext:Zcmt AND ext:Smstateen(~> 1.0),False,0,,zc.adoc,2341,4,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","Behavior of the mstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATUS_FS_LEGAL_VALUES,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of mstatus.FS,set,"subset of [0, 1, 2, 3]","F, S, Sm",ext:Sm AND (ext:F OR ext:S),True,3,mstatus,machine.adoc,679,11,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that",The set of values that mstatus.FS supports.
MSTATUS_TVM_IMPLEMENTED,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",S,ext:S,False,2,mstatus,hypervisor.adoc,999,12,True,False,"addresses. [#norm:hgatp_tvm_illegal]#When `mstatus`.TVM=1, attempts to read or write `hgatp` while","Whether or not mstatus.TVM is implemented.

When not implemented mstatus.TVM will be read-only-zero."
MSTATUS_VS_LEGAL_VALUES,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of mstatus.VS,set,"subset of [0, 1, 2, 3]","S, Sm, Zvl32b",ext:Sm AND (ext:Zvl32b OR ext:S),True,3,mstatus,machine.adoc,679,11,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that",The set of values that mstatus.VS will accept from a software write.
MTVAL_WIDTH,Width of the `mtval` CSR,NORM_DIRECT,medium,Trap value reporting parameter,range,[0..64],Sm,ext:Sm,True,0,,hypervisor.adoc,25,6,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","The number of implemented bits in the `mtval` CSR.
This is the CSR that may be written when a trap is taken into M-mode with exception-specific information to
assist software in handling the trap (e.g., address associated with exception).

Must be greater than or equal to _max_(`PHYS_ADDR_WIDTH`, `V"
MTVEC_ACCESS,Acess type of the `mtvec` CSR (read-only or read-write).,NORM_CSR_RW,high,Controls type (RO/RW) of mtvec.BASE,binary,"choices: ['ro', 'rw']",Sm,ext:Sm,False,2,mtvec,machine.adoc,1209,17,True,False,[#norm:mtvec_sz_warl_acc]#The `mtvec` register is an MXLEN-bit *WARL* read/write register that holds,"Options:

  ro::
    `mtvec` is read-only.

  rw::
    `mtvec` is read-write, but may not accept all values."
MTVEC_BASE_ALIGNMENT_DIRECT,Minumum alignment of `mtvec.BASE` when `mtvec.MODE` is 0 (direct),NORM_CSR_WARL,low,"Name pattern suggests CSR 'mtvec' association, but no IDL cross-reference found",enum,62 values,Sm,"ext:Sm AND {'param': {'allOf': [{'name': 'MTVEC_MODES', 'includes': 0, 'reason': 'Only rele",True,0,,machine.adoc,1209,6,True,False,[#norm:mtvec_sz_warl_acc]#The `mtvec` register is an MXLEN-bit *WARL* read/write register that holds,"Minimum alignment of the base pointer. Because `mtvec` excludes the two least-significant bits of
the base, the minimum alignment cannot be less than 4."
MTVEC_BASE_ALIGNMENT_VECTORED,Minumum alignment of `mtvec.BASE` when `mtvec.MODE` is 1 (vectored),NORM_CSR_WARL,low,"Name pattern suggests CSR 'mtvec' association, but no IDL cross-reference found",enum,62 values,Sm,"ext:Sm AND {'param': {'allOf': [{'name': 'MTVEC_MODES', 'includes': 1, 'reason': 'Only rele",True,0,,priv-preface.adoc,540,7,False,False,* Optional vectored interrupt support has been added to the `mtvec` and,"Because `mtvec` excludes the two least-significant bits of
the base, the minimum alignment cannot be less than 4."
MTVEC_ILLEGAL_WRITE_BEHAVIOR,What happens when `mtvec` is written with an illegal value,NORM_CSR_WARL,high,Referenced in sw_write() of mtvec.BASE,binary,"choices: ['retain', 'custom']",Sm,ext:Sm,False,2,mtvec,machine.adoc,1209,18,True,False,[#norm:mtvec_sz_warl_acc]#The `mtvec` register is an MXLEN-bit *WARL* read/write register that holds,"Options:

  retain::
    When either `mtvec.MODE` or `mtvec.BASE` is illegal, `mtvec` will retain its current value

  custom::
    When either `mtvec.MODE` or `mtvec.BASE` is illegal, `mtvec` will obtain an unpredictable value

Other values may be added over time once other common behaviors are ide"
MTVEC_MODES,Modes supported by `mtvec.MODE`,NORM_CSR_WARL,high,Referenced in sw_write() of mtvec.BASE,set,"subset of [0, 1]",Sm,ext:Sm,True,4,mtvec,machine.adoc,1255,18,False,False,machine mode cause the `pc` to be set to the address in the BASE field.#,"Options:

  0::
    Direct; All traps set `pc` to `mtvec.BASE`
  1::
    Vectored; Asynchronous interrupts set `pc` to `mtvec.BASE` + 4 x cause.

If only one mode is given, `mtvec.MODE` is assumed to be read-only with that value.
Otherwise, `mtvec.MODE` is read-write."
MUTABLE_MISA_A,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.A,binary,"choices: [True, False]","A, Sm",ext:A AND ext:Sm,False,2,misa,machine.adoc,21,16,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,"When the `A` extensions is supported, indicates whether or not
the extension can be disabled in the `misa.A` bit."
MUTABLE_MISA_B,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.B,binary,"choices: [True, False]","B, Sm",ext:B AND ext:Sm,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `B` extension can be disabled with the `misa.B` bit.
MUTABLE_MISA_C,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.C,binary,"choices: [True, False]","C, Sm",ext:C AND ext:Sm,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `C` extension can be disabled with the `misa.C` bit.
MUTABLE_MISA_D,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.D,binary,"choices: [True, False]","D, Sm",ext:D AND ext:Sm,False,2,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `D` extension can be disabled with the `misa.D` bit.
MUTABLE_MISA_F,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.F,binary,"choices: [True, False]","F, Sm",ext:F AND ext:Sm,False,2,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `F` extension can be disabled with the `misa.F` bit.
MUTABLE_MISA_H,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.H,binary,"choices: [True, False]","H, Sm",ext:Sm AND ext:H,True,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `H` extension can be disabled with the `misa.H` bit.
MUTABLE_MISA_M,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.G,binary,"choices: [True, False]","M, Sm",ext:M AND ext:Sm,False,2,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `M` extension can be disabled with the `misa.M` bit.
MUTABLE_MISA_Q,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.Q,binary,"choices: [True, False]","Q, Sm",ext:Q AND ext:Sm,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `Q` extension can be disabled with the `misa.Q` bit.
MUTABLE_MISA_S,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.S,binary,"choices: [True, False]","S, Sm",ext:S AND ext:Sm,True,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `S` extension can be disabled with the `misa.S` bit.
MUTABLE_MISA_U,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.U,binary,"choices: [True, False]","Sm, U",ext:U AND ext:Sm,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `U` extension can be disabled with the `misa.U` bit.
MUTABLE_MISA_V,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.V,binary,"choices: [True, False]","Sm, V",ext:V AND ext:Sm,False,1,misa,v-st-ext.adoc,5161,14,True,False,[#norm:misa-V_op]#The `misa.v` bit is set for implementations providing `misa` and,Indicates whether or not the `V` extension can be disabled with the `misa.V` bit.
MXLEN,XLEN in machine mode,NORM_DIRECT,high,Well-known architectural parameter 'MXLEN',binary,"choices: [32, 64]",Sm,ext:Sm,True,69,"hcontext, misa, pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9, satp, ssp, vsatp",machine.adoc,50,12,True,False,[#norm:misa_sz]#The `misa` CSR is MXLEN bits wide.#,"XLEN in machine mode, specified in bits"
M_MODE_ENDIANNESS,Endianness of data in M-mode,NORM_CSR_RW,high,Controls type (RO/RW) of mstatus.MBE,enum,"values: ['little', 'big', 'dynamic']",Sm,ext:Sm,False,4,"mstatus, mstatush",machine.adoc,679,22,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that","Options:

[separator=""!""]
!===
h! little  ! M-mode data is always little endian
h! big     ! M-mode data is always big endian
h! dynamic ! M-mode data can be either little or big endian,
             depending on the CSR field `mstatus.MBE`
!==="
NUM_EXTERNAL_GUEST_INTERRUPTS,TODO,NORM_DIRECT,high,Well-known architectural parameter 'NUM_EXTERNAL_GUEST_INTERRUPTS',range,[1..63],H,ext:H,True,2,hstatus,hypervisor.adoc,259,9,False,False,"VS-level external interrupts. GEILEN may be zero, in which case VGEIN","Number of supported virtualized guest interrupts

Corresponds to the `GEILEN` parameter in the RVI specs"
NUM_PMP_ENTRIES,TODO,NORM_DIRECT,high,Well-known architectural parameter 'NUM_PMP_ENTRIES',range,[0..64],Sm,ext:Sm,False,224,"pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9, pmpcfg0, pmpcfg1, pmpcfg10, pmpcfg11, pmpcfg12, pmpcfg13, pmpcfg14, pmpcfg15, pmpcfg2, pmpcfg3, pmpcfg4, pmpcfg5, pmpcfg6, pmpcfg7, pmpcfg8, pmpcfg9",machine.adoc,668,4,True,False,"Note that, [#norm:mstatus_sum_op_mprv_mpp]#while SUM is ordinarily ignored when not","Number of implemented PMP entries. Can be any value between 0-64, inclusive.

The architecture mandates that the number of implemented PMP registers
must appear to be 0, 16, or 64.

Therefore, pmp registers will behave as follows according to NUN_PMP_ENTRIES:

[separator=""!""]
!===
! NUM_PMP_ENTRIES "
PHYS_ADDR_WIDTH,Number of bits in a physical address,NORM_DIRECT,high,Well-known architectural parameter 'PHYS_ADDR_WIDTH',range,[1..64],Sm,ext:Sm,True,128,"pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9",hypervisor.adoc,1027,3,False,False,<<guest-addr-translation>>.,Implementation-defined size of the physical address space.
PMA_GRANULARITY,log2 of the smallest supported PMA region,NORM_DIRECT,high,Well-known architectural parameter 'PMA_GRANULARITY',range,[2..66],Sm,ext:Sm,False,0,,machine.adoc,3333,5,True,False,"[#norm:pmp_granularity_param]#The granularity of PMP access control settings are platform-specific,","Generally, for systems with an MMU, should not be smaller than 12,
as that would preclude caching PMA results in the TLB along with
virtual memory translations"
PMLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'PMLEN',value,{'base': 'integer'},"Smmpm, Smnpm, Ssnpm",(ext:Smmpm OR ext:Smnpm OR ext:Ssnpm),False,0,,zpm.adoc,39,9,True,False,"[#norm:pm_ignore_va]#The ignore transformation differs depending on whether it applies to a virtual or physical address. For virtual addresses, it replaces the upper PMLEN bits with the sign extension","The number of high-order bits of an address that are masked by the
pointer masking facility."
